cashtag,tweets
MMM,0
ABT,4
ABBV,18
ACN,3
ATVI,2
AYI,1
ADBE,0
AMD,5
AAP,0
AES,0
AET,2
AMG,4
AFL,2
A,7
APD,4
AKAM,2
ALK,2
ALB,2
ARE,0
AGN,0
LNT,1
ALXN,2
ALLE,0
ADS,6
ALL,1
GOOGL,13
GOOG,8
MO,1
AMZN,35
AEE,0
AAL,3
AEP,0
AXP,15
AIG,5
AMT,0
AWK,0
AMP,3
ABC,1
AME,0
AMGN,12
APH,4
APC,0
ADI,2
ANTM,1
AON,1
APA,1
AIV,0
AAPL,64
AMAT,2
ADM,0
ARNC,7
AJG,0
AIZ,1
T,5
ADSK,1
ADP,0
AN,0
AZO,0
AVB,0
AVY,0
BHI,1
BLL,0
BAC,17
BK,1
BCR,1
BAX,0
BBT,1
BDX,0
BBBY,0
BRK.B,0
BBY,3
BIIB,2
BLK,0
HRB,1
BA,2
BWA,2
BXP,0
BSX,0
BMY,3
AVGO,0
BF.B,0
CHRW,1
CA,0
COG,1
CPB,3
COF,0
CAH,3
CBOE,0
KMX,1
CCL,4
CAT,0
CBG,5
CBS,0
CELG,9
CNC,1
CNP,1
CTL,0
CERN,1
CF,2
SCHW,0
CHTR,1
CHK,2
CVX,0
CMG,6
CB,0
CHD,0
CI,0
XEC,3
CINF,0
CTAS,0
CSCO,2
C,5
CFG,3
CTXS,6
CLX,0
CME,0
CMS,0
COH,4
KO,7
CTSH,1
CL,1
CMCSA,2
CMA,6
CAG,0
CXO,1
COP,3
ED,3
STZ,2
GLW,0
COST,1
COTY,2
CCI,0
CSRA,1
CSX,10
CMI,2
CVS,3
DHI,6
DHR,5
DRI,18
DVA,1
DE,1
DLPH,1
DAL,2
XRAY,0
DVN,2
DLR,3
DFS,3
DISCA,4
DISCK,0
DISH,1
DG,2
DLTR,2
D,1
DOV,3
DOW,1
DPS,1
DTE,0
DD,1
DUK,0
DXC,1
ETFC,4
EMN,5
ETN,0
EBAY,9
ECL,0
EIX,1
EW,0
EA,0
EMR,2
ETR,0
EVHC,1
EOG,1
EQT,0
EFX,0
EQIX,0
EQR,2
ESS,0
EL,1
ES,3
EXC,5
EXPE,1
EXPD,0
ESRX,0
EXR,2
XOM,9
FFIV,0
FB,49
FAST,0
FRT,1
FDX,4
FIS,0
FITB,0
FE,3
FISV,1
FLIR,1
FLS,0
FLR,0
FMC,1
FTI,4
FL,9
F,3
FTV,1
FBHS,0
BEN,1
FCX,5
GPS,2
GRMN,0
IT,0
GD,1
GE,44
GGP,1
GIS,1
GM,12
GPC,1
GILD,22
GPN,0
GS,34
GT,1
GWW,2
HAL,1
HBI,0
HOG,6
HRS,0
HIG,0
HAS,2
HCA,1
HCP,1
HP,0
HSIC,0
HES,1
HPE,4
HOLX,3
HD,0
HON,3
HRL,2
HST,0
HPQ,2
HUM,4
HBAN,0
IDXX,2
ITW,1
ILMN,2
IR,1
INTC,5
ICE,0
IBM,25
INCY,6
IP,0
IPG,1
IFF,7
INTU,0
ISRG,7
IVZ,0
IRM,1
JEC,0
JBHT,2
SJM,1
JNJ,5
JCI,0
JPM,6
JNPR,1
KSU,1
K,0
KEY,5
KMB,1
KIM,0
KMI,2
KLAC,0
KSS,0
KHC,0
KR,0
LB,2
LLL,0
LH,0
LRCX,5
LEG,0
LEN,3
LVLT,1
LUK,1
LLY,4
LNC,1
LKQ,0
LMT,5
L,4
LOW,1
LYB,0
MTB,3
MAC,1
M,1
MNK,1
MRO,2
MPC,0
MAR,1
MMC,0
MLM,2
MAS,0
MA,5
MAT,12
MKC,1
MCD,8
MCK,3
MJN,0
MDT,6
MRK,2
MET,1
MTD,0
KORS,0
MCHP,0
MU,5
MSFT,29
MAA,0
MHK,0
TAP,2
MDLZ,0
MON,4
MNST,1
MCO,2
MS,18
MOS,0
MSI,0
MUR,3
MYL,1
NDAQ,0
NOV,4
NAVI,0
NTAP,3
NFLX,7
NWL,0
NFX,0
NEM,8
NWSA,0
NWS,0
NEE,0
NLSN,6
NKE,4
NI,0
NBL,0
JWN,0
NSC,0
NTRS,0
NOC,0
NRG,0
NUE,7
NVDA,14
ORLY,1
OXY,4
OMC,0
OKE,7
ORCL,4
PCAR,1
PH,3
PDCO,1
PAYX,1
PYPL,1
PNR,0
PBCT,1
PEP,2
PKI,2
PRGO,1
PFE,55
PCG,1
PM,5
PSX,1
PNW,0
PXD,0
PNC,0
RL,0
PPG,3
PPL,3
PX,3
PCLN,7
PFG,2
PG,0
PGR,1
PLD,0
PRU,1
PEG,0
PSA,1
PHM,0
PVH,0
QRVO,1
PWR,1
QCOM,33
DGX,5
RRC,1
RJF,0
RTN,1
O,3
RHT,1
REG,0
REGN,10
RF,5
RSG,0
RAI,0
RHI,1
ROK,1
COL,3
ROP,0
ROST,0
RCL,2
R,0
CRM,1
SCG,1
SLB,10
SNI,1
STX,1
SEE,2
SRE,2
SHW,5
SIG,0
SPG,1
SWKS,3
SLG,3
SNA,7
SO,0
LUV,0
SPGI,0
SWK,1
SPLS,1
SBUX,24
STT,3
SRCL,3
SYK,0
STI,0
SYMC,0
SYF,0
SNPS,2
SYY,0
TROW,0
TGT,1
TEL,0
TGNA,1
TDC,3
TSO,1
TXN,0
TXT,1
COO,100
HSY,1
TRV,7
TMO,0
TIF,2
TWX,2
TJX,1
TMK,2
TSS,1
TSCO,0
TDG,1
RIG,1
TRIP,1
FOXA,8
FOX,2
TSN,3
UDR,2
ULTA,2
USB,4
UA,1
UAA,3
UNP,3
UAL,3
UNH,2
UPS,0
URI,9
UTX,0
UHS,2
UNM,1
VFC,0
VLO,2
VAR,2
VTR,0
VRSN,0
VRSK,0
VZ,18
VRTX,7
VIAB,1
V,60
VNO,0
VMC,0
WMT,4
WBA,3
DIS,11
WM,2
WAT,0
WEC,0
WFC,2
HCN,0
WDC,0
WU,0
WRK,0
WY,0
WHR,1
WFM,2
WMB,0
WLTW,0
WYN,0
WYNN,3
XEL,0
XRX,0
XLNX,0
XL,1
XYL,0
YHOO,2
YUM,0
ZBH,0
ZION,2
ZTS,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
