cashtag,tweets
MMM,2
ABT,4
ABBV,1
ACN,1
ATVI,2
AYI,0
ADBE,2
AMD,9
AAP,1
AES,0
AET,2
AMG,0
AFL,1
A,1
APD,1
AKAM,0
ALK,3
ALB,0
ARE,0
AGN,1
LNT,0
ALXN,0
ALLE,0
ADS,5
ALL,1
GOOGL,6
GOOG,7
MO,1
AMZN,48
AEE,0
AAL,4
AEP,1
AXP,6
AIG,5
AMT,1
AWK,0
AMP,0
ABC,0
AME,2
AMGN,1
APH,1
APC,0
ADI,5
ANTM,0
AON,0
APA,1
AIV,0
AAPL,37
AMAT,0
ADM,0
ARNC,0
AJG,0
AIZ,2
T,10
ADSK,1
ADP,0
AN,0
AZO,1
AVB,0
AVY,0
BHI,2
BLL,2
BAC,8
BK,1
BCR,0
BAX,1
BBT,0
BDX,2
BBBY,1
BRK.B,0
BBY,2
BIIB,34
BLK,2
HRB,1
BA,3
BWA,0
BXP,0
BSX,4
BMY,33
AVGO,1
BF.B,0
CHRW,1
CA,0
COG,0
CPB,3
COF,3
CAH,1
CBOE,0
KMX,1
CCL,1
CAT,3
CBG,0
CBS,0
CELG,9
CNC,1
CNP,0
CTL,1
CERN,0
CF,0
SCHW,0
CHTR,3
CHK,1
CVX,3
CMG,8
CB,0
CHD,3
CI,0
XEC,1
CINF,1
CTAS,2
CSCO,1
C,29
CFG,0
CTXS,1
CLX,0
CME,2
CMS,0
COH,4
KO,1
CTSH,4
CL,4
CMCSA,3
CMA,0
CAG,0
CXO,0
COP,11
ED,0
STZ,2
GLW,0
COST,7
COTY,0
CCI,1
CSRA,0
CSX,1
CMI,1
CVS,1
DHI,3
DHR,0
DRI,0
DVA,0
DE,5
DLPH,0
DAL,6
XRAY,0
DVN,0
DLR,0
DFS,1
DISCA,0
DISCK,0
DISH,3
DG,0
DLTR,0
D,1
DOV,0
DOW,3
DPS,1
DTE,1
DD,1
DUK,0
DXC,0
ETFC,0
EMN,0
ETN,0
EBAY,7
ECL,0
EIX,0
EW,0
EA,5
EMR,1
ETR,1
EVHC,0
EOG,1
EQT,0
EFX,0
EQIX,0
EQR,0
ESS,0
EL,0
ES,9
EXC,0
EXPE,1
EXPD,0
ESRX,1
EXR,1
XOM,5
FFIV,0
FB,37
FAST,1
FRT,0
FDX,3
