cashtag,tweets
MMM,2
ABT,0
ABBV,1
ACN,1
ATVI,2
AYI,1
ADBE,3
AMD,8
AAP,0
AES,1
AET,0
AMG,0
AFL,1
A,1
APD,2
AKAM,2
ALK,3
ALB,0
ARE,0
AGN,4
LNT,0
ALXN,0
ALLE,0
ADS,5
ALL,0
GOOGL,6
GOOG,7
MO,2
AMZN,34
AEE,0
AAL,2
AEP,0
AXP,6
AIG,9
AMT,2
AWK,0
AMP,0
ABC,0
AME,0
AMGN,0
APH,0
APC,1
ADI,2
ANTM,0
AON,0
APA,0
AIV,0
AAPL,75
AMAT,0
ADM,2
ARNC,0
AJG,0
AIZ,1
T,0
ADSK,6
ADP,0
AN,0
AZO,1
AVB,0
AVY,0
BHI,1
BLL,3
BAC,5
BK,1
BCR,0
BAX,2
BBT,0
BDX,0
BBBY,3
BRK.B,0
BBY,6
BIIB,2
BLK,1
HRB,0
BA,1
BWA,0
BXP,2
BSX,1
BMY,0
AVGO,3
BF.B,0
CHRW,0
CA,4
COG,1
CPB,1
COF,0
CAH,1
CBOE,0
KMX,4
CCL,5
CAT,6
CBG,0
CBS,1
CELG,6
CNC,0
CNP,1
CTL,1
CERN,0
CF,1
SCHW,0
CHTR,0
CHK,2
CVX,4
CMG,4
CB,0
CHD,1
CI,0
XEC,1
CINF,1
CTAS,0
CSCO,4
C,11
CFG,2
CTXS,3
CLX,1
CME,3
CMS,0
COH,4
KO,4
CTSH,0
CL,6
CMCSA,5
CMA,2
CAG,0
CXO,1
COP,0
ED,0
STZ,0
GLW,0
COST,3
COTY,1
CCI,0
CSRA,0
CSX,4
CMI,4
CVS,1
DHI,0
DHR,2
DRI,3
DVA,0
DE,3
DLPH,0
DAL,27
XRAY,0
DVN,1
DLR,1
DFS,4
DISCA,1
DISCK,0
DISH,0
DG,2
DLTR,0
D,0
DOV,2
DOW,0
DPS,4
DTE,1
DD,0
DUK,3
DXC,0
ETFC,1
EMN,1
ETN,1
EBAY,6
ECL,0
EIX,1
EW,0
EA,0
EMR,5
ETR,1
EVHC,0
EOG,4
EQT,0
EFX,1
EQIX,0
EQR,0
ESS,0
EL,0
ES,3
EXC,0
EXPE,2
EXPD,0
ESRX,1
EXR,1
XOM,0
FFIV,0
FB,30
FAST,9
FRT,0
FDX,0
FIS,0
FITB,1
FE,0
FISV,0
FLIR,0
FLS,0
FLR,0
FMC,2
FTI,0
FL,0
F,8
FTV,0
FBHS,0
BEN,1
FCX,6
GPS,0
GRMN,1
IT,2
GD,0
GE,1
GGP,3
GIS,1
GM,6
GPC,0
GILD,6
GPN,2
GS,17
GT,0
GWW,0
HAL,0
HBI,2
HOG,18
HRS,1
HIG,0
HAS,5
HCA,0
HCP,0
HP,0
HSIC,0
HES,0
HPE,0
HOLX,4
HD,2
HON,0
HRL,3
HST,0
HPQ,13
HUM,0
HBAN,0
IDXX,0
ITW,0
ILMN,2
IR,0
INTC,11
ICE,2
IBM,9
INCY,2
IP,1
IPG,1
IFF,3
