cashtag,tweets
MMM,2
ABT,1
ABBV,2
ACN,0
ATVI,2
AYI,0
ADBE,5
AMD,34
AAP,0
AES,0
AET,2
AMG,1
AFL,10
A,2
APD,3
AKAM,0
ALK,0
ALB,0
ARE,0
AGN,4
LNT,1
ALXN,0
ALLE,0
ADS,2
ALL,0
GOOGL,20
GOOG,10
MO,2
AMZN,47
AEE,0
AAL,4
AEP,0
AXP,6
AIG,9
AMT,0
AWK,0
AMP,0
ABC,0
AME,0
AMGN,2
APH,1
APC,1
ADI,0
ANTM,0
AON,0
APA,0
AIV,0
AAPL,67
AMAT,0
ADM,0
ARNC,2
AJG,0
AIZ,1
T,5
ADSK,0
ADP,0
AN,0
AZO,1
AVB,0
AVY,0
BHI,0
BLL,0
BAC,63
BK,0
BCR,0
BAX,1
BBT,1
BDX,2
BBBY,0
BRK.B,0
BBY,0
BIIB,3
BLK,3
HRB,0
BA,5
BWA,1
BXP,1
BSX,0
BMY,5
AVGO,10
BF.B,0
CHRW,0
CA,2
COG,5
CPB,0
COF,1
CAH,34
CBOE,0
KMX,0
CCL,0
CAT,4
CBG,1
CBS,1
CELG,6
CNC,0
CNP,0
CTL,5
CERN,0
CF,4
SCHW,3
CHTR,1
CHK,1
CVX,2
CMG,6
CB,0
CHD,4
CI,0
XEC,5
CINF,4
CTAS,0
CSCO,3
C,6
CFG,0
CTXS,0
CLX,0
CME,2
CMS,0
COH,1
KO,2
CTSH,1
CL,2
CMCSA,6
CMA,10
CAG,1
CXO,0
COP,1
ED,1
STZ,0
GLW,7
COST,0
COTY,0
CCI,1
CSRA,0
CSX,2
CMI,3
CVS,0
DHI,0
DHR,0
DRI,2
DVA,0
DE,4
DLPH,0
DAL,15
XRAY,0
DVN,1
DLR,0
DFS,0
DISCA,0
DISCK,0
DISH,8
DG,0
DLTR,1
D,0
DOV,0
DOW,1
DPS,3
DTE,0
DD,2
DUK,0
DXC,0
ETFC,0
EMN,0
ETN,0
EBAY,3
ECL,0
EIX,0
EW,0
EA,1
EMR,0
ETR,0
EVHC,3
EOG,0
EQT,0
EFX,0
EQIX,2
EQR,2
ESS,0
EL,2
ES,10
EXC,0
EXPE,0
EXPD,0
ESRX,4
EXR,0
XOM,1
FFIV,0
FB,63
FAST,3
FRT,0
FDX,5
FIS,0
FITB,1
FE,1
FISV,0
FLIR,0
FLS,0
FLR,0
FMC,1
FTI,2
FL,0
F,11
FTV,1
FBHS,1
BEN,1
FCX,11
GPS,1
GRMN,1
IT,2
GD,2
GE,1
GGP,0
GIS,0
GM,2
GPC,0
GILD,6
GPN,1
GS,95
GT,1
GWW,9
HAL,0
HBI,0
HOG,7
HRS,0
HIG,0
HAS,1
HCA,1
HCP,0
HP,0
HSIC,0
HES,0
HPE,0
HOLX,2
HD,5
HON,7
HRL,1
HST,2
HPQ,3
HUM,0
HBAN,0
IDXX,0
ITW,0
ILMN,0
IR,0
INTC,4
ICE,0
IBM,30
INCY,7
IP,4
IPG,1
IFF,4
INTU,0
ISRG,3
IVZ,4
IRM,5
JEC,2
JBHT,1
SJM,0
JNJ,38
JCI,0
JPM,14
JNPR,0
KSU,0
K,3
KEY,2
KMB,2
KIM,0
KMI,2
KLAC,0
KSS,6
KHC,0
KR,1
LB,1
LLL,0
LH,0
LRCX,9
LEG,4
LEN,1
LVLT,1
LUK,0
LLY,2
LNC,0
LKQ,0
LMT,3
L,1
LOW,2
LYB,0
MTB,4
MAC,1
M,11
MNK,0
MRO,1
MPC,0
MAR,0
MMC,0
MLM,0
MAS,1
MA,0
MAT,4
MKC,1
MCD,34
MCK,7
MJN,3
MDT,43
MRK,2
MET,3
MTD,1
KORS,0
MCHP,1
MU,0
MSFT,17
MAA,0
MHK,0
TAP,0
MDLZ,4
MON,1
MNST,1
MCO,1
MS,8
MOS,3
MSI,0
MUR,4
MYL,6
NDAQ,0
NOV,0
NAVI,7
NTAP,0
NFLX,100
NWL,0
NFX,1
NEM,9
NWSA,0
NWS,0
NEE,1
NLSN,1
NKE,2
NI,1
NBL,0
JWN,0
NSC,0
NTRS,0
NOC,0
NRG,0
NUE,0
NVDA,11
ORLY,1
OXY,0
OMC,4
OKE,3
ORCL,3
PCAR,3
PH,3
PDCO,0
PAYX,1
PYPL,1
PNR,1
PBCT,0
PEP,0
PKI,1
PRGO,1
PFE,12
PCG,0
PM,1
PSX,0
PNW,0
PXD,3
PNC,2
RL,3
PPG,2
PPL,2
PX,4
PCLN,3
PFG,1
PG,2
PGR,2
PLD,5
PRU,1
PEG,0
PSA,2
PHM,1
PVH,0
QRVO,1
PWR,1
QCOM,2
DGX,0
RRC,0
RJF,0
RTN,1
O,0
RHT,4
REG,0
REGN,2
RF,4
RSG,1
RAI,0
RHI,0
ROK,0
COL,1
ROP,0
ROST,1
RCL,0
R,0
CRM,0
SCG,0
SLB,1
SNI,1
STX,2
SEE,1
SRE,0
SHW,0
SIG,0
SPG,1
SWKS,2
SLG,1
SNA,5
SO,1
LUV,1
SPGI,0
SWK,0
SPLS,1
SBUX,5
STT,2
SRCL,1
SYK,0
STI,0
SYMC,3
SYF,0
SNPS,0
SYY,0
TROW,1
TGT,4
TEL,0
TGNA,0
TDC,1
TSO,2
TXN,1
TXT,0
COO,0
HSY,0
TRV,1
TMO,0
TIF,5
TWX,0
TJX,2
TMK,0
TSS,1
TSCO,1
TDG,1
RIG,3
TRIP,0
FOXA,0
FOX,0
TSN,1
UDR,0
ULTA,0
USB,0
UA,1
UAA,7
UNP,1
UAL,49
UNH,29
UPS,0
URI,0
UTX,2
UHS,4
UNM,0
VFC,0
VLO,1
VAR,1
VTR,0
VRSN,0
VRSK,0
VZ,19
VRTX,2
VIAB,2
V,54
VNO,0
VMC,0
WMT,3
WBA,4
DIS,13
WM,0
WAT,0
WEC,0
WFC,14
HCN,0
WDC,4
WU,0
WRK,0
WY,1
WHR,6
WFM,7
WMB,1
WLTW,0
WYN,2
WYNN,1
XEL,0
XRX,3
XLNX,0
XL,0
XYL,2
YHOO,17
YUM,0
ZBH,0
ZION,0
ZTS,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
