A,4
AAL,3
AAP,0
AAPL,100
ABBV,0
ABC,0
ABT,0
ACN,0
ADBE,1
ADI,0
ADM,0
ADP,3
ADS,5
ADSK,3
AEE,0
AEP,1
AES,0
AET,2
AFL,0
AGN,1
AIG,3
AIV,0
AIZ,2
AJG,1
AKAM,10
ALB,0
ALK,0
ALL,1
ALLE,2
ALXN,3
AMAT,1
AMD,66
AME,2
AMG,1
AMGN,5
AMP,1
AMT,1
AMZN,25
AN,3
ANTM,1
AON,1
APA,1
APC,13
APD,1
APH,8
ARE,0
ARNC,0
ATVI,6
AVB,3
AVGO,0
AVY,1
AWK,1
AXP,1
AYI,0
AZO,0
BA,2
BAC,7
BAX,1
BBBY,4
BBT,0
BBY,0
BCR,0
BDX,0
BEN,3
BF.B,0
BHI,0
BIIB,1
BK,1
BLK,0
BLL,4
BMY,5
BRK.B,1
BSX,0
BWA,0
BXP,0
C,2
CA,0
CAG,0
CAH,1
CAT,2
CB,2
CBG,0
CBOE,2
CBS,4
CCI,1
CCL,3
CELG,3
CERN,1
CF,1
CFG,0
CHD,1
CHK,1
CHRW,1
CHTR,5
CI,0
CINF,1
CL,1
CLX,11
CMA,3
CMCSA,10
CME,1
CMG,7
CMI,8
CMS,0
CNC,1
CNP,2
COF,2
COG,2
COH,18
COL,1
COO,2
COP,4
COST,1
COTY,0
CPB,0
CRM,3
CSCO,4
CSRA,0
CSX,0
CTAS,1
CTL,3
CTSH,0
CTXS,7
CVS,1
CVX,3
CXO,3
D,0
DAL,1
DD,7
DE,0
DFS,2
DG,1
DGX,1
DHI,0
DHR,1
DIS,24
DISCA,0
DISCK,0
DISH,8
DLPH,4
DLR,2
DLTR,1
DOV,1
DOW,10
DPS,1
DRI,0
DTE,2
DUK,2
DVA,1
DVN,5
DXC,1
EA,0
EBAY,2
ECL,1
ED,0
EFX,0
EIX,2
EL,4
EMN,0
EMR,2
EOG,0
EQIX,2
EQR,3
EQT,1
ES,1
ESRX,2
ESS,1
ETFC,1
ETN,1
ETR,1
EVHC,2
EW,1
EXC,3
EXPD,1
EXPE,3
EXR,0
F,5
FAST,1
FB,100
FBHS,3
FCX,2
FDX,1
FE,0
FFIV,0
FIS,2
FISV,2
FITB,0
FL,0
FLIR,0
FLR,0
FLS,1
FMC,5
FOX,1
FOXA,3
FRT,5
FTI,1
FTV,2
GD,0
GE,2
GGP,1
GILD,53
GIS,0
GLW,0
GM,3
GOOG,9
GOOGL,16
GPC,1
GPN,0
GPS,2
GRMN,2
GS,11
GT,1
GWW,0
HAL,3
HAS,0
HBAN,0
HBI,0
HCA,3
HCN,0
HCP,1
HD,1
HES,2
HIG,0
HOG,0
HOLX,0
HON,1
HP,2
HPE,0
HPQ,2
HRB,0
HRL,1
HRS,0
HSIC,1
HST,0
HSY,0
HUM,4
IBM,6
ICE,1
IDXX,1
IFF,2
ILMN,1
INCY,1
INTC,29
INTU,1
IP,0
IPG,0
IR,1
IRM,1
ISRG,0
IT,0
ITW,0
IVZ,0
JBHT,1
JCI,0
JEC,0
JNJ,12
JNPR,4
JPM,12
JWN,3
K,1
KEY,0
KHC,2
KIM,0
KLAC,0
KMB,0
KMI,0
KMX,0
KO,4
KORS,0
KR,3
KSS,1
KSU,0
L,0
LB,0
LEG,1
LEN,0
LH,2
LKQ,2
LLL,0
LLY,4
LMT,1
LNC,3
LNT,0
LOW,0
LRCX,2
LUK,0
LUV,1
LVLT,2
LYB,0
M,4
MA,2
MAA,1
MAC,1
MAR,1
MAS,0
MAT,0
MCD,12
MCHP,0
MCK,0
MCO,0
MDLZ,13
MDT,4
MET,7
MHK,2
MJN,0
MKC,1
MLM,1
MMC,1
MMM,5
MNK,1
MNST,5
MO,2
MON,3
MOS,2
MPC,0
MRK,6
MRO,1
MS,2
MSFT,37
MSI,0
MTB,1
MTD,0
MU,9
MUR,2
MYL,3
NAVI,0
NBL,3
NDAQ,3
NEE,0
NEM,1
NFLX,23
NFX,2
NI,1
NKE,1
NLSN,0
NOC,0
NOV,2
NRG,0
NSC,0
NTAP,1
NTRS,3
NUE,0
NVDA,14
NWL,1
NWS,0
NWSA,1
O,4
OKE,5
OMC,0
ORCL,4
ORLY,2
OXY,1
PAYX,1
PBCT,0
PCAR,0
PCG,0
PCLN,4
PDCO,1
PEG,0
PEP,16
PFE,12
PFG,2
PG,5
PGR,4
PH,0
PHM,2
PKI,1
PLD,2
PM,1
PNC,1
PNR,0
PNW,0
PPG,3
PPL,3
PRGO,15
PRU,2
PSA,0
PSX,5
PVH,0
PWR,0
PX,0
PXD,6
PYPL,2
QCOM,7
QRVO,0
R,1
RAI,5
RCL,3
REG,0
REGN,4
RF,0
RHI,1
RHT,5
RIG,0
RJF,2
RL,0
ROK,5
ROP,0
ROST,0
RRC,3
RSG,0
RTN,3
SBUX,7
SCG,0
SCHW,0
SEE,0
SHW,0
SIG,0
SJM,0
SLB,2
SLG,0
SNA,0
SNI,2
SNPS,0
SO,55
SPG,2
SPGI,0
SPLS,5
SRCL,1
SRE,2
STI,0
STT,0
STX,3
STZ,0
SWK,0
SWKS,6
SYF,2
SYK,4
SYMC,0
SYY,0
T,19
TAP,0
TDC,1
TDG,2
TEL,0
TGNA,0
TGT,0
TIF,1
TJX,2
TMK,3
TMO,0
TRIP,0
TROW,0
TRV,3
TSCO,2
TSN,4
TSO,2
TSS,1
TWX,26
TXN,3
TXT,0
UA,0
UAA,2
UAL,4
UDR,1
UHS,0
ULTA,1
UNH,3
UNM,1
UNP,1
UPS,12
URI,1
USB,5
UTX,9
V,42
VAR,4
VFC,0
VIAB,3
VLO,1
VMC,0
VNO,0
VRSK,2
VRSN,0
VRTX,0
VTR,1
VZ,10
WAT,1
WBA,1
WDC,4
WEC,0
WFC,6
WFM,1
WHR,0
WLTW,0
WM,0
WMB,2
WMT,3
WRK,1
WU,0
WY,0
WYN,2
WYNN,1
XEC,0
XEL,1
XL,0
XLNX,0
XOM,5
XRAY,5
XRX,2
XYL,0
YHOO,6
YUM,9
ZBH,5
ZION,0
ZTS,0
