cashtag,tweets
MMM,0
ABT,0
ABBV,0
ACN,2
ATVI,1
AYI,0
ADBE,1
AMD,1
AAP,0
AES,0
AET,0
AMG,0
AFL,0
A,1
APD,0
AKAM,0
ALK,1
ALB,1
ARE,1
AGN,0
LNT,0
ALXN,0
ALLE,0
ADS,0
ALL,0
GOOGL,2
GOOG,1
MO,0
AMZN,30
AEE,0
AAL,0
AEP,0
AXP,1
AIG,4
AMT,0
AWK,0
AMP,0
ABC,0
AME,0
AMGN,0
APH,0
APC,0
ADI,0
ANTM,0
AON,0
APA,0
AIV,0
AAPL,18
AMAT,0
ADM,0
ARNC,0
AJG,0
AIZ,0
T,3
ADSK,0
ADP,0
AN,0
AZO,0
AVB,1
AVY,0
BHI,0
BLL,0
BAC,11
BK,0
BCR,0
BAX,0
BBT,0
BDX,0
BBBY,1
BRK.B,0
BBY,0
BIIB,1
BLK,0
HRB,0
BA,1
BWA,0
BXP,0
BSX,0
BMY,1
AVGO,0
BF.B,0
CHRW,0
CA,2
COG,1
CPB,0
COF,0
CAH,0
CBOE,0
KMX,2
CCL,0
CAT,2
CBG,0
CBS,1
CELG,0
CNC,0
CNP,0
CTL,0
CERN,0
CF,0
SCHW,0
CHTR,0
CHK,1
CVX,6
CMG,1
CB,2
CHD,0
CI,0
XEC,0
CINF,0
CTAS,3
CSCO,7
C,4
CFG,0
CTXS,0
CLX,0
CME,0
CMS,0
COH,0
KO,3
CTSH,0
CL,2
CMCSA,0
CMA,0
CAG,1
CXO,0
COP,0
ED,0
STZ,0
GLW,0
COST,0
COTY,0
CCI,0
CSRA,0
CSX,0
CMI,0
CVS,0
DHI,0
DHR,0
DRI,1
DVA,0
DE,0
DLPH,0
DAL,37
XRAY,0
DVN,0
DLR,0
DFS,0
DISCA,0
DISCK,0
DISH,1
DG,0
DLTR,0
D,0
DOV,0
DOW,0
DPS,0
DTE,0
DD,0
DUK,1
DXC,0
ETFC,3
EMN,0
ETN,0
EBAY,0
ECL,0
EIX,0
EW,0
EA,0
EMR,1
