cashtag,tweets
MMM,0
ABT,1
ABBV,1
ACN,1
ATVI,2
AYI,0
ADBE,0
AMD,1
AAP,0
AES,0
AET,0
AMG,0
AFL,0
A,0
APD,0
AKAM,0
ALK,0
ALB,0
ARE,0
AGN,0
LNT,0
ALXN,0
ALLE,0
ADS,0
ALL,1
GOOGL,2
GOOG,0
MO,0
AMZN,17
AEE,0
AAL,1
AEP,0
AXP,3
AIG,3
AMT,0
AWK,0
AMP,1
ABC,0
AME,0
AMGN,7
APH,1
APC,0
ADI,1
ANTM,0
AON,7
APA,0
AIV,1
AAPL,8
AMAT,1
ADM,0
ARNC,0
AJG,0
AIZ,0
T,0
ADSK,0
ADP,0
AN,0
AZO,0
AVB,1
AVY,0
BHI,0
BLL,0
BAC,9
BK,1
BCR,0
BAX,1
BBT,0
BDX,0
BBBY,0
BRK.B,0
BBY,0
BIIB,0
BLK,2
HRB,0
BA,3
BWA,0
BXP,0
BSX,0
BMY,1
AVGO,1
BF.B,0
CHRW,0
CA,0
COG,0
CPB,1
COF,0
CAH,1
CBOE,0
KMX,0
CCL,0
CAT,3
CBG,0
CBS,0
CELG,0
CNC,0
CNP,0
CTL,2
CERN,0
CF,0
SCHW,1
CHTR,1
CHK,0
CVX,4
CMG,0
CB,0
CHD,0
CI,0
XEC,0
CINF,0
CTAS,0
CSCO,8
C,3
CFG,0
CTXS,0
CLX,0
CME,0
CMS,0
COH,0
KO,1
CTSH,0
CL,0
CMCSA,1
CMA,1
CAG,0
CXO,0
COP,1
ED,1
STZ,0
GLW,0
COST,0
COTY,0
CCI,0
CSRA,0
CSX,0
CMI,0
CVS,0
DHI,0
DHR,1
DRI,0
DVA,0
DE,3
DLPH,0
DAL,2
XRAY,0
DVN,0
DLR,0
DFS,0
DISCA,0
DISCK,0
DISH,0
DG,0
DLTR,0
D,1
DOV,0
DOW,0
DPS,1
DTE,1
DD,3
DUK,0
DXC,0
ETFC,0
EMN,1
ETN,0
EBAY,0
ECL,0
EIX,0
EW,0
EA,1
EMR,0
ETR,0
EVHC,0
EOG,0
EQT,0
EFX,0
EQIX,0
EQR,1
ESS,1
EL,0
ES,0
EXC,0
EXPE,0
EXPD,0
ESRX,1
EXR,0
XOM,0
FFIV,0
FB,26
FAST,0
FRT,0
FDX,0
FIS,0
FITB,0
FE,0
FISV,0
FLIR,0
FLS,0
FLR,0
FMC,0
FTI,0
FL,0
F,0
FTV,0
FBHS,0
BEN,0
FCX,2
GPS,0
GRMN,0
IT,0
GD,0
GE,0
GGP,0
GIS,0
GM,1
GPC,0
GILD,0
GPN,0
GS,8
GT,1
GWW,0
HAL,1
HBI,0
HOG,0
HRS,0
HIG,0
HAS,1
HCA,0
HCP,0
HP,1
HSIC,0
HES,0
HPE,0
HOLX,1
HD,0
HON,1
HRL,0
HST,0
HPQ,0
HUM,0
HBAN,0
IDXX,2
ITW,0
ILMN,0
IR,0
INTC,2
ICE,0
IBM,1
INCY,7
IP,0
IPG,0
IFF,1
INTU,0
ISRG,0
IVZ,0
IRM,0
JEC,0
JBHT,1
SJM,0
JNJ,3
JCI,0
JPM,4
JNPR,0
KSU,0
K,0
KEY,0
KMB,0
KIM,0
KMI,0
KLAC,0
KSS,1
KHC,0
KR,0
LB,0
LLL,1
LH,0
LRCX,0
LEG,0
LEN,0
LVLT,0
LUK,0
LLY,6
LNC,0
LKQ,0
LMT,0
L,0
LOW,0
LYB,1
MTB,0
MAC,0
M,2
MNK,1
MRO,1
MPC,0
MAR,0
MMC,0
MLM,0
MAS,0
MA,0
MAT,0
MKC,0
MCD,1
MCK,0
MJN,1
MDT,0
MRK,0
MET,0
MTD,0
KORS,0
MCHP,0
MU,0
MSFT,3
MAA,0
MHK,0
TAP,0
MDLZ,0
MON,1
MNST,0
MCO,0
MS,10
MOS,0
MSI,0
MUR,1
MYL,1
NDAQ,0
NOV,0
NAVI,0
NTAP,0
NFLX,4
NWL,0
NFX,0
NEM,1
NWSA,0
NWS,0
NEE,0
NLSN,0
NKE,0
NI,0
NBL,0
JWN,1
NSC,0
NTRS,0
NOC,0
NRG,0
NUE,0
NVDA,0
ORLY,0
OXY,0
OMC,0
OKE,0
ORCL,2
PCAR,0
PH,0
PDCO,0
PAYX,2
PYPL,0
PNR,0
PBCT,0
PEP,1
PKI,0
PRGO,0
PFE,5
PCG,3
PM,0
PSX,1
PNW,0
PXD,0
