cashtag,tweets
MMM,4
ABT,0
ABBV,1
ACN,5
ATVI,6
AYI,1
ADBE,0
AMD,11
AAP,0
AES,0
AET,5
AMG,0
AFL,1
A,5
APD,1
AKAM,3
ALK,6
ALB,0
ARE,1
AGN,0
LNT,0
ALXN,0
ALLE,0
ADS,2
ALL,0
GOOGL,2
GOOG,5
MO,2
AMZN,38
AEE,0
AAL,9
AEP,3
AXP,1
AIG,3
AMT,17
AWK,0
AMP,0
ABC,1
AME,0
AMGN,3
APH,0
APC,0
ADI,7
ANTM,1
AON,1
APA,3
AIV,0
AAPL,41
AMAT,9
ADM,0
ARNC,0
AJG,0
AIZ,1
T,9
ADSK,4
ADP,0
AN,0
AZO,0
AVB,0
AVY,0
BHI,1
BLL,0
BAC,23
BK,1
BCR,1
BAX,2
BBT,0
BDX,0
BBBY,3
BRK.B,1
BBY,1
BIIB,0
BLK,3
HRB,8
BA,3
BWA,0
BXP,0
BSX,0
BMY,5
AVGO,0
BF.B,0
CHRW,0
CA,3
COG,1
CPB,5
COF,6
CAH,0
CBOE,0
KMX,5
CCL,5
CAT,5
CBG,0
CBS,0
CELG,4
CNC,2
CNP,2
CTL,0
CERN,2
CF,1
SCHW,0
CHTR,0
CHK,1
CVX,1
CMG,2
CB,0
CHD,0
CI,0
XEC,2
CINF,0
CTAS,0
CSCO,6
C,12
CFG,0
CTXS,0
CLX,1
CME,0
CMS,1
COH,0
KO,2
CTSH,2
CL,1
CMCSA,5
CMA,1
CAG,0
CXO,0
COP,0
ED,3
STZ,0
GLW,0
COST,2
COTY,0
CCI,13
CSRA,0
CSX,0
CMI,1
CVS,1
DHI,1
DHR,0
DRI,3
DVA,1
DE,5
DLPH,0
DAL,17
XRAY,0
DVN,1
DLR,0
DFS,4
DISCA,1
DISCK,0
DISH,0
DG,2
DLTR,0
D,1
DOV,0
DOW,0
DPS,1
DTE,5
DD,0
DUK,1
DXC,4
ETFC,1
EMN,0
ETN,0
EBAY,3
ECL,0
EIX,1
EW,0
EA,0
EMR,0
ETR,1
EVHC,2
EOG,0
EQT,0
EFX,0
EQIX,2
EQR,0
ESS,3
EL,0
ES,6
EXC,0
EXPE,0
EXPD,0
ESRX,0
EXR,3
XOM,3
FFIV,0
FB,34
FAST,1
FRT,0
FDX,2
FIS,1
FITB,1
FE,0
FISV,1
FLIR,0
FLS,1
FLR,0
FMC,0
FTI,1
FL,0
F,1
FTV,0
FBHS,0
BEN,2
FCX,9
GPS,0
GRMN,0
IT,2
GD,0
GE,7
GGP,0
GIS,1
GM,3
GPC,1
GILD,0
GPN,0
GS,18
GT,5
GWW,0
HAL,0
HBI,0
HOG,2
HRS,0
HIG,3
HAS,1
HCA,0
HCP,1
HP,0
HSIC,2
HES,1
HPE,0
HOLX,1
HD,4
HON,2
HRL,0
HST,3
HPQ,0
HUM,0
HBAN,0
IDXX,0
ITW,2
ILMN,10
IR,1
INTC,4
ICE,5
IBM,13
INCY,11
IP,0
IPG,1
IFF,1
INTU,1
ISRG,1
IVZ,0
IRM,0
JEC,1
JBHT,0
SJM,3
JNJ,6
JCI,0
JPM,19
JNPR,0
KSU,0
K,1
KEY,0
KMB,1
KIM,0
KMI,2
KLAC,0
KSS,1
KHC,0
KR,6
LB,6
LLL,0
LH,0
LRCX,0
LEG,0
LEN,1
LVLT,2
LUK,0
LLY,10
LNC,0
LKQ,0
LMT,4
L,10
LOW,7
LYB,0
MTB,1
MAC,0
M,1
MNK,2
MRO,0
MPC,1
MAR,0
MMC,0
MLM,0
MAS,3
MA,2
MAT,0
MKC,3
MCD,4
MCK,3
MJN,3
MDT,2
MRK,0
MET,0
MTD,0
KORS,0
MCHP,2
MU,21
MSFT,5
MAA,0
MHK,0
TAP,0
MDLZ,0
MON,2
MNST,2
MCO,0
MS,0
MOS,7
MSI,1
MUR,2
MYL,7
NDAQ,1
NOV,0
NAVI,0
NTAP,1
NFLX,11
NWL,0
NFX,0
NEM,6
NWSA,0
NWS,0
NEE,2
NLSN,1
NKE,5
NI,0
NBL,0
JWN,0
NSC,0
NTRS,3
NOC,1
NRG,1
NUE,0
NVDA,35
ORLY,1
OXY,1
OMC,1
OKE,0
ORCL,4
PCAR,1
PH,0
PDCO,0
PAYX,0
PYPL,0
PNR,1
PBCT,0
PEP,1
PKI,0
PRGO,1
PFE,25
PCG,1
PM,1
PSX,0
PNW,1
PXD,0
PNC,4
RL,0
PPG,3
PPL,4
PX,2
PCLN,7
PFG,0
PG,3
PGR,0
PLD,1
PRU,0
PEG,1
PSA,0
PHM,0
PVH,2
QRVO,0
PWR,1
QCOM,5
DGX,0
RRC,0
RJF,3
RTN,0
O,0
RHT,1
REG,0
REGN,2
RF,6
RSG,1
RAI,1
RHI,0
ROK,1
COL,0
ROP,0
ROST,1
RCL,0
R,0
CRM,1
SCG,1
SLB,4
SNI,0
STX,6
SEE,1
SRE,0
SHW,0
SIG,1
SPG,2
SWKS,3
SLG,0
SNA,0
SO,4
LUV,7
SPGI,0
SWK,0
SPLS,4
SBUX,8
STT,6
SRCL,1
SYK,3
STI,0
SYMC,1
SYF,5
SNPS,3
SYY,1
TROW,0
TGT,1
TEL,4
TGNA,4
TDC,0
TSO,5
TXN,3
TXT,2
COO,2
HSY,0
TRV,2
TMO,0
TIF,1
TWX,0
TJX,1
TMK,0
TSS,0
TSCO,6
TDG,2
RIG,1
TRIP,0
FOXA,2
FOX,0
TSN,0
UDR,2
ULTA,0
USB,0
UA,3
UAA,7
UNP,0
UAL,100
UNH,2
UPS,0
URI,0
UTX,1
UHS,2
UNM,0
VFC,0
VLO,2
VAR,10
VTR,0
VRSN,0
VRSK,0
VZ,7
VRTX,8
VIAB,0
V,49
VNO,3
VMC,0
WMT,1
WBA,0
DIS,16
WM,0
WAT,0
WEC,1
WFC,44
HCN,0
WDC,12
WU,0
WRK,0
WY,0
WHR,0
WFM,29
WMB,0
WLTW,0
WYN,0
WYNN,8
XEL,3
XRX,0
XLNX,0
XL,0
XYL,0
YHOO,1
YUM,0
ZBH,0
ZION,3
ZTS,0
