run start,tweets
MMM,5
ABT,1
ABBV,4
ACN,0
ATVI,5
AYI,1
ADBE,0
AMD,100
AAP,1
AES,0
AET,19
AMG,7
AFL,3
A,0
APD,3
AKAM,4
ALK,0
ALB,2
ARE,2
AGN,6
LNT,0
ALXN,5
ALLE,0
ADS,3
ALL,0
GOOGL,30
GOOG,15
MO,6
AMZN,34
AEE,0
AAL,0
AEP,0
AXP,6
AIG,1
AMT,3
AWK,4
AMP,2
ABC,1
AME,3
AMGN,8
APH,0
APC,3
ADI,0
ANTM,2
AON,2
APA,0
AIV,0
AAPL,100
AMAT,0
ADM,3
ARNC,1
AJG,5
AIZ,2
T,3
ADSK,3
ADP,0
AN,0
AZO,0
AVB,0
AVY,2
BHI,2
BLL,0
BAC,5
BK,0
BCR,0
BAX,3
BBT,0
BDX,3
BBBY,1
BRK.B,2
BBY,5
BIIB,2
BLK,3
HRB,0
BA,0
BWA,0
BXP,1
BSX,1
BMY,25
AVGO,1
BF.B,0
CHRW,3
CA,0
COG,3
CPB,4
COF,1
CAH,2
CBOE,0
KMX,2
CCL,7
CAT,4
CBG,1
CBS,0
CELG,4
CNC,2
CNP,0
CTL,2
CERN,2
CF,0
SCHW,0
CHTR,5
CHK,0
CVX,0
CMG,6
CB,0
CHD,6
CI,0
XEC,2
CINF,1
CTAS,0
CSCO,3
C,2
CFG,1
CTXS,0
CLX,2
CME,4
CMS,0
COH,12
KO,5
CTSH,0
CL,1
CMCSA,4
CMA,3
CAG,4
CXO,0
COP,2
ED,0
STZ,0
COO,4
GLW,15
COST,3
COTY,0
CCI,0
CSRA,4
CSX,0
CMI,7
CVS,18
DHI,0
DHR,0
DRI,0
DVA,3
DE,2
DLPH,0
DAL,1
XRAY,0
DVN,4
DLR,1
DFS,3
DISCA,1
DISCK,0
DISH,4
DG,0
DLTR,1
D,0
DOV,0
DOW,30
DPS,2
DTE,2
DD,34
DUK,0
DXC,0
ETFC,0
EMN,0
ETN,2
EBAY,2
ECL,3
EIX,2
EW,7
EA,7
EMR,2
ETR,1
EVHC,3
EOG,1
EQT,2
EFX,0
EQIX,5
EQR,1
ESS,2
EL,1
ES,2
EXC,0
EXPE,4
EXPD,1
ESRX,9
EXR,5
XOM,2
FFIV,4
FB,73
FAST,3
FRT,2
FDX,1
FIS,8
FITB,2
FE,3
FISV,0
FLIR,0
FLS,1
FLR,0
FMC,2
FL,0
F,6
FTV,2
FBHS,8
BEN,0
FCX,1
GPS,1
GRMN,0
IT,1
GD,1
GE,4
GGP,1
GIS,0
GM,15
