"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"07 Jan 2018";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"43.60";"43.80";"43.60";"43.80";"05/01/2018 17:11";"CET";"252";"11000.10"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"5.50";"5.50";"5.50";"5.50";"05/01/2018 16:30";"CET";"606";"3333.00"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.081";"0.081";"0.081";"0.081";"05/01/2018 16:30";"CET";"2";"0.162"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"2.76";"2.76";"2.76";"2.76";"05/01/2018 11:30";"CET";"1";"2.76"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"8.20";"8.45";"8.10";"8.36";"05/01/2018 17:29";"CET";"7682";"64181.61"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"Euronext Growth Paris";"EUR";"38.80";"39.40";"35.60";"35.60";"05/01/2018 16:24";"CET";"893";"34830.40"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"43.64";"44.27";"43.53";"44.13";"05/01/2018 17:35";"CET";"427975";"18822889.77"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"94.86";"95.71";"94.76";"95.23";"05/01/2018 17:46";"CET";"1852838";"176585133.02"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"9.50";"10.18";"9.49";"9.95";"05/01/2018 17:35";"CET";"661253";"6487573.02"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.48";"6.56";"6.45";"6.49";"05/01/2018 17:35";"CET";"73837";"480049.16"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Euronext Access Paris";"EUR";"0.29";"0.29";"0.29";"0.29";"04/04/2016 15:00";"CET";"1";"0.29"
"ABCARBIBSAA29JUN18";"FR0013254489";"ABCBS";"Euronext Access Paris";"EUR";"0.04";"0.04";"0.04";"0.04";"28/12/2017 11:30";"CET";"26666";"1066.64"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"45.90";"46.40";"45.00";"46.20";"05/01/2018 17:35";"CET";"1461";"67138.00"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"8.92";"9.04";"8.90";"8.97";"05/01/2018 17:35";"CET";"28503";"255753.09"
"ABLYNX";"BE0003877942";"ABLX";"Euronext Brussels";"EUR";"20.88";"21.28";"20.70";"21.20";"05/01/2018 17:38";"CET";"505550";"10643585.52"
